"actor_guest","turns","total_turns","turns_percent","time","total_time","time_percent","words","total_words","words_percent"
"Ashley",7435,273411,2.71934925807667,28054.68,1630155.833,1.72098148116125,55728,3436479,1.62165984427666
"Guests",6354,273411,2.32397379768919,29563.11,1630155.833,1.81351435252632,67450,3436479,1.96276479501257
"Laura",40381,273411,14.7693399314585,130357.807,1630155.833,7.99664696841287,313605,3436479,9.12576506360144
"Liam",24663,273411,9.02048564249427,103866.475,1630155.833,6.37156723899537,243131,3436479,7.0750032227754
"Marisha",30117,273411,11.015284681304,145700.446,1630155.833,8.9378231853985,267622,3436479,7.78768035538701
"Matt",77705,273411,28.420582931923,831132.051,1630155.833,50.9848220749826,1730025,3436479,50.3429527722998
"Orion",4903,273411,1.79327093642904,19978.54,1630155.833,1.22556013330537,50416,3436479,1.46708302305936
"Sam",28701,273411,10.4973830606669,121239.689,1630155.833,7.43730670072693,254140,3436479,7.39536019280199
"Taliesin",26394,273411,9.65359842873915,118654.059,1630155.833,7.27869425720111,255853,3436479,7.44520772569831
"Travis",26758,273411,9.7867313312193,101608.976,1630155.833,6.23308360728971,198509,3436479,5.77652300508747
