"arc","arc_no","rp_combat","time","total_time","percent"
"Attack Conclave",4,"Combat",67751.092,235723.298,28.741788603348
"Attack Conclave",4,"Role Play",167972.206,235723.298,71.258211396652
"Briarwoods",3,"Combat",48164.806,181467.828,26.5417878920114
"Briarwoods",3,"Role Play",133303.022,181467.828,73.4582121079886
"Daring Deeds",7,"Combat",52946.489,215772.423,24.5381167175381
"Daring Deeds",7,"Role Play",162825.934,215772.423,75.4618832824619
"End",8,"Combat",59676.715,216228.976,27.5988519688499
"End",8,"Role Play",156552.261,216228.976,72.4011480311501
"Fall Conclave",6,"Combat",58119.877,222230.36,26.1529869276187
"Fall Conclave",6,"Role Play",164110.483,222230.36,73.8470130723813
"Kraghammer",1,"Combat",54514.458,162301.099,33.5884712647571
"Kraghammer",1,"Role Play",107786.641,162301.099,66.4115287352429
"Vasselheim",2,"Combat",26742.205,84996.802,31.4626013811673
"Vasselheim",2,"Role Play",58254.597,84996.802,68.5373986188327
"Vestiges",5,"Combat",31455.318,158768.134,19.8121104074952
"Vestiges",5,"Role Play",127312.816,158768.134,80.1878895925047
