"actor_guest","mean"
"""We Can Go Home.""
Guests",2
"But That's It.
Taliesin",2
"Get It.
Laura",2
"Hmm",2
"I'm So Excited.
Marisha",2
"Interesting.
Marisha",2
"Not Urban
Laura",2
"Other Way.
Taliesin",2
"Sam
Travis",2
"So",2
"That's A Gun Jam.
Marisha",2
"You Are No Longer
Laura",2
"A Second Time.
Marisha",3
"It's A One.
Laura",3
"It's Very You Too.
Sam",3
"Like",3
"Stopped By The Ruins.
Sam",3
"That Is A...
Liam",3
"That's Stupid.
Marisha",3
"We Failed.
Sam",3
"What
Liam",3
"A Short Ways Up.
Laura",4
"Ashley Just Got
Taliesin",4
"I Did Not...
Sam",4
"It's A Five Total.
Sam",4
"There Are Many.
Travis",4
"""Go",5
"But She Was
Sam",5
"Heal!""
Laura",5
"I Love It.
Guests",5
"I Mean
Marisha",5
"It Looks Good.
Taliesin",5
"Right",5
"Some Bnumerouss On It.
Liam",5
"Twelve Points.
Laura",5
"We're Gonna
Travis",5
"You Take...
Sam",5
"""And Remember",6
"But I'm So Proud.
Marisha",6
"Can't Do Anything.
Laura",6
"For Old Time's Sake.
Sam",6
"I Need Sam
Sam",6
"I Think
Travis",6
"It's Tingly.
Marisha",7
"That's Not Subtle.
Sam",7
"Travis",8.79841734173417
"Ashley",8.95400271370421
"Laura",9.21608452454941
"Marisha",10.3473606989229
"Sam",10.3578270292946
"So We Could
Marisha",11
"Taliesin",11.3340937606935
"Liam",11.4217509870162
"Orion",11.7605893186004
"Guests",12.1862884160756
"I Guests Say",18
"Just A Look.
Laura",20
"Matt",24.0468496536808
"And I Guests Sing To Her",25
"Runs Down Your Spine",28
"Here's What I Guests Do",31
"And I Guests Shout Out",34
"It's Your Turn.
Taliesin",55
"That Was Sick.
Taliesin",60
"That Guests Be From 2",121
