"actor_guest","mean_grade","sd_grade","min_grade","max_grade","int_score"
"""And Remember",2.97711680584,NA,2.97711680584,2.97711680584,NA
"""Go",NA,NA,Inf,-Inf,NA
"""We Can Go Home.""
Guests",NA,NA,Inf,-Inf,NA
"A Second Time.
Marisha",NA,NA,Inf,-Inf,NA
"A Short Ways Up.
Laura",NA,NA,Inf,-Inf,NA
"And I Guests Shout Out",5.03739622429091,NA,5.03739622429091,5.03739622429091,NA
"And I Guests Sing To Her",2.22447348517333,NA,2.22447348517333,2.22447348517333,NA
"Ashley",2.37660022438163,3.84683653975641,-11.6277708125143,26.49652414984,13
"Ashley Just Got
Taliesin",NA,NA,Inf,-Inf,NA
"But I'm So Proud.
Marisha",NA,NA,Inf,-Inf,NA
"But She Was
Sam",NA,NA,Inf,-Inf,NA
"But That's It.
Taliesin",NA,NA,Inf,-Inf,NA
"Can't Do Anything.
Laura",NA,NA,Inf,-Inf,NA
"For Old Time's Sake.
Sam",NA,NA,Inf,-Inf,NA
"Get It.
Laura",NA,NA,Inf,-Inf,NA
"Guests",3.41600272638644,3.86107033842136,-12.31049796776,20.61667231384,NA
"Heal!""
Laura",NA,NA,Inf,-Inf,NA
"Here's What I Guests Do",4.66433290671724,NA,4.66433290671724,4.66433290671724,NA
"Hmm",NA,NA,Inf,-Inf,NA
"I Did Not...
Sam",NA,NA,Inf,-Inf,NA
"I Guests Say",9.25314773337729,1.0075891630652,8.54067460352381,9.96562086323076,NA
"I Love It.
Guests",NA,NA,Inf,-Inf,NA
"I Mean
Marisha",NA,NA,Inf,-Inf,NA
"I Need Sam
Sam",2.97711680584,NA,2.97711680584,2.97711680584,NA
"I Think
Travis",NA,NA,Inf,-Inf,NA
"I'm So Excited.
Marisha",NA,NA,Inf,-Inf,NA
"Interesting.
Marisha",NA,NA,Inf,-Inf,NA
"It Looks Good.
Taliesin",NA,NA,Inf,-Inf,NA
"It's A Five Total.
Sam",NA,NA,Inf,-Inf,NA
"It's A One.
Laura",NA,NA,Inf,-Inf,NA
"It's Tingly.
Marisha",-0.550794295760003,NA,-0.550794295760003,-0.550794295760003,NA
"It's Very You Too.
Sam",NA,NA,Inf,-Inf,NA
"It's Your Turn.
Taliesin",6.70977582237446,NA,6.70977582237446,6.70977582237446,NA
"Just A Look.
Laura",3.99511607955789,NA,3.99511607955789,3.99511607955789,NA
"Laura",3.30806584534574,3.93645885297914,-13.48646833496,27.2867717794667,14
"Liam",3.70252768342381,3.85918561913951,-12.6107057175636,25.3268211674667,16
"Like",NA,NA,Inf,-Inf,NA
"Marisha",3.65148955667059,3.99653701046237,-11.13452760056,26.1712767046286,15
"Matt",6.05320846527922,3.74801627845476,-15.83840906936,32.1866483094667,NA
"Not Urban
Laura",NA,NA,Inf,-Inf,NA
"Orion",3.30123934196327,3.92060303885684,-8.17579952808,21.79264268104,14
"Other Way.
Taliesin",NA,NA,Inf,-Inf,NA
"Right",NA,NA,Inf,-Inf,NA
"Runs Down Your Spine",9.52055616603076,NA,9.52055616603076,9.52055616603076,NA
"Sam",3.3203366259728,3.90121616119723,-12.29169581328,28.84846488424,16
"Sam
Travis",NA,NA,Inf,-Inf,NA
"So",NA,NA,Inf,-Inf,NA
"So We Could
Marisha",4.43112694751111,NA,4.43112694751111,4.43112694751111,NA
"Some Bnumerouss On It.
Liam",NA,NA,Inf,-Inf,NA
"Stopped By The Ruins.
Sam",NA,NA,Inf,-Inf,NA
"Taliesin",4.14598553051251,3.9829404987505,-12.4677496462286,23.8646924395,20
"That Guests Be From 2",8.33968381317876,NA,8.33968381317876,8.33968381317876,NA
"That Is A...
Liam",NA,NA,Inf,-Inf,NA
"That Was Sick.
Taliesin",7.82024241022857,NA,7.82024241022857,7.82024241022857,NA
"That's A Gun Jam.
Marisha",NA,NA,Inf,-Inf,NA
"That's Not Subtle.
Sam",-1.13251209453334,NA,-1.13251209453334,-1.13251209453334,NA
"That's Stupid.
Marisha",NA,NA,Inf,-Inf,NA
"There Are Many.
Travis",NA,NA,Inf,-Inf,NA
"Travis",3.12093876674644,3.98051165040907,-15.83840906936,22.96861304824,6
"Twelve Points.
Laura",NA,NA,Inf,-Inf,NA
"We Failed.
Sam",NA,NA,Inf,-Inf,NA
"We're Gonna
Travis",NA,NA,Inf,-Inf,NA
"What
Liam",NA,NA,Inf,-Inf,NA
"You Are No Longer
Laura",NA,NA,Inf,-Inf,NA
"You Take...
Sam",NA,NA,Inf,-Inf,NA
