"from","to","same_thought","Distance","interactions"
"Ashley","Laura",49,1,1865
"Ashley","Liam",4,2,1008
"Ashley","Marisha",20,3,1173
"Ashley","Sam",7,5,1620
"Ashley","Taliesin",4,4,853
"Ashley","Travis",25,1,1838
"Laura","Liam",107,1,8942
"Laura","Marisha",144,2,8924
"Laura","Sam",75,4,9176
"Laura","Taliesin",69,3,7453
"Laura","Travis",111,2,8432
"Liam","Marisha",30,1,4722
"Liam","Sam",17,3,4521
"Liam","Taliesin",36,2,3976
"Liam","Travis",28,3,3835
"Marisha","Sam",47,2,5711
"Marisha","Taliesin",140,1,7933
"Marisha","Travis",26,4,5014
"Sam","Taliesin",61,1,5900
"Sam","Travis",28,6,6042
"Taliesin","Travis",41,5,4872
